method,factor,label,time_bin,time,median,lower,upper,n
MEFISTO,factor_5,RUS,2,264.0,-0.7031559944152832,-1.3338581323623657,-0.27383752526970995,115
MEFISTO,factor_5,RUS,3,365.0,-0.7474068155624682,-1.3365002870559692,-0.2148189549184524,125
MEFISTO,factor_5,RUS,4,449.0,-1.0033230781555176,-1.4059865474700928,-0.4043418765068054,101
MEFISTO,factor_5,RUS,5,549.0,-0.7960318922996521,-1.233329176902771,-0.2067254930734634,81
MEFISTO,factor_5,RUS,6,638.0,-0.5202783741550334,-0.876496635145391,-0.07484830915927886,56
MEFISTO,factor_5,RUS,7,725.0,-0.5670886635780334,-1.0346366167068481,-0.15681668743491167,47
MEFISTO,factor_5,RUS,8,829.5,-0.3524186277546246,-0.8771578818559647,-0.01980249537155025,24
MEFISTO,factor_5,RUS,9,919.0,-0.29863613981334075,-0.5917316824197769,0.21553195640444756,12
MEFISTO,factor_5,RUS,10,1011.5,-0.49006029963493347,-0.8077367693185806,-0.04606401734054087,12
MEFISTO,factor_5,RUS,11,1101.0,-0.6129582524299622,-1.1472794115543365,-0.3481146097183227,3
